"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"25 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","101258.00","101640.00","101200.00","101569.00","101343.00","453","453.000 GRMS ","45960.26","1452"
"22 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100278.00","101391.00","100145.00","101343.00","100356.00","1011","1011.000 GRMS ","102041.43","1470"
"21 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100950.00","100950.00","99900.00","100356.00","100258.00","657","657.000 GRMS ","65873.64","1598"
"20 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99596.00","100380.00","99455.00","100258.00","99648.00","831","831.000 GRMS ","83060.04","1562"
"19 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100485.00","100485.00","99572.00","99648.00","100378.00","925","925.000 GRMS ","92454.30","1471"
"18 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100824.00","101048.00","100298.00","100378.00","100809.00","514","514.000 GRMS ","51724.82","1327"
"14 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","101200.00","101370.00","100646.00","100809.00","101146.00","769","769.000 GRMS ","77642.83","1233"
"13 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","101238.00","101540.00","101110.00","101146.00","101125.00","636","636.000 GRMS ","64446.14","1140"
"12 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","101300.00","101340.00","100760.00","101125.00","101333.00","1095","1095.000 GRMS ","110700.84","1017"
"11 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","102082.00","102238.00","101220.00","101333.00","102882.00","945","945.000 GRMS ","96010.59","994"
"08 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","102925.00","103195.00","102555.00","102882.00","102346.00","1052","1052.000 GRMS ","108279.11","978"
"07 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","102239.00","103047.00","101948.00","102346.00","102167.00","725","725.000 GRMS ","74276.99","909"
"06 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","102048.00","102220.00","101600.00","102167.00","102244.00","416","416.000 GRMS ","42415.29","798"
"05 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","102071.00","102461.00","101393.00","102244.00","102068.00","607","607.000 GRMS ","61903.50","741"
"04 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100888.00","102198.00","100850.00","102068.00","100631.00","602","602.000 GRMS ","61150.64","663"
"01 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99598.00","100818.00","99197.00","100631.00","99681.00","575","575.000 GRMS ","57612.27","607"
"31 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99814.00","100183.00","99500.00","99681.00","99897.00","396","396.000 GRMS ","39497.89","602"
"30 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100121.00","100685.00","99666.00","99897.00","100065.00","603","603.000 GRMS ","60398.91","606"
"29 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99487.00","100155.00","99370.00","100065.00","99345.00","257","257.000 GRMS ","25642.76","553"
"28 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99700.00","99917.00","98960.00","99345.00","99615.00","215","215.000 GRMS ","21366.31","493"
"25 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100387.00","100461.00","99500.00","99615.00","100531.00","282","282.000 GRMS ","28163.63","467"
"24 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100791.00","100850.00","100177.00","100531.00","101228.00","271","271.000 GRMS ","27230.01","430"
"23 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","102099.00","102275.00","101000.00","101228.00","102081.00","286","286.000 GRMS ","29073.91","508"
"22 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100999.00","102200.00","100880.00","102081.00","101079.00","357","357.000 GRMS ","36322.94","542"
"21 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99838.00","101250.00","99838.00","101079.00","99777.00","334","334.000 GRMS ","33610.93","397"
